tid,T,daily_regs,cum_regs,cum_pct
2018,11,10,10,0.02544529262086514
2018,10,9,19,0.04834605597964377
2018,9,18,37,0.09414758269720101
2018,8,30,67,0.17048346055979643
2018,7,5,72,0.183206106870229
2018,6,5,77,0.19592875318066158
2018,5,5,82,0.20865139949109415
2018,4,17,99,0.25190839694656486
2018,3,13,112,0.28498727735368956
2018,2,15,127,0.3231552162849873
2018,1,23,150,0.3816793893129771
2018,0,9,159,0.40458015267175573
2049,25,1,1,0.0058823529411764705
2049,24,3,4,0.023529411764705882
2049,23,1,5,0.029411764705882353
2049,21,3,8,0.047058823529411764
2049,20,1,9,0.052941176470588235
2049,19,3,12,0.07058823529411765
2049,18,3,15,0.08823529411764706
2049,17,2,17,0.1
2049,16,2,19,0.11176470588235295
2049,15,2,21,0.12352941176470589
2049,14,5,26,0.15294117647058825
2049,13,4,30,0.17647058823529413
2049,12,4,34,0.2
2049,11,1,35,0.20588235294117646
2049,9,8,43,0.2529411764705882
2049,8,7,50,0.29411764705882354
2049,7,5,55,0.3235294117647059
2049,6,1,56,0.32941176470588235
2049,5,10,66,0.38823529411764707
2049,4,8,74,0.43529411764705883
2049,3,8,82,0.4823529411764706
2049,2,32,114,0.6705882352941176
2049,1,8,122,0.7176470588235294
2049,0,10,132,0.7764705882352941
2050,18,2,2,0.010582010582010581
2050,17,4,6,0.031746031746031744
2050,16,2,8,0.042328042328042326
2050,15,3,11,0.0582010582010582
2050,14,9,20,0.10582010582010581
2050,13,1,21,0.1111111111111111
2050,12,4,25,0.13227513227513227
2050,11,2,27,0.14285714285714285
2050,10,4,31,0.164021164021164
2050,9,3,34,0.17989417989417988
2050,8,4,38,0.20105820105820105
2050,7,8,46,0.24338624338624337
2050,6,9,55,0.291005291005291
2050,5,9,64,0.3386243386243386
2050,4,13,77,0.4074074074074074
2050,3,22,99,0.5238095238095238
2050,2,10,109,0.5767195767195767
2050,1,13,122,0.6455026455026455
2050,0,5,127,0.671957671957672
2051,25,7,7,0.015317286652078774
2051,24,8,15,0.03282275711159737
2051,23,4,19,0.04157549234135667
2051,22,9,28,0.061269146608315096
2051,21,6,34,0.07439824945295405
2051,20,2,36,0.0787746170678337
2051,19,10,46,0.10065645514223195
2051,18,9,55,0.12035010940919037
2051,17,7,62,0.13566739606126915
2051,16,9,71,0.15536105032822758
2051,15,6,77,0.16849015317286653
2051,14,4,81,0.1772428884026258
2051,13,9,90,0.19693654266958424
2051,12,11,101,0.2210065645514223
2051,11,13,114,0.24945295404814005
2051,10,4,118,0.25820568927789933
2051,9,10,128,0.2800875273522976
2051,8,16,144,0.3150984682713348
2051,7,20,164,0.3588621444201313
2051,6,22,186,0.40700218818380746
2051,5,21,207,0.45295404814004375
2051,4,22,229,0.5010940919037199
2051,3,40,269,0.5886214442013129
2051,2,68,337,0.737417943107221
2051,1,10,347,0.7592997811816192
2051,0,19,366,0.8008752735229759
2059,32,1,1,0.0047169811320754715
2059,31,3,4,0.018867924528301886
2059,30,3,7,0.0330188679245283
2059,29,4,11,0.05188679245283019
2059,28,1,12,0.05660377358490566
2059,27,2,14,0.0660377358490566
2059,26,2,16,0.07547169811320754
2059,25,3,19,0.08962264150943396
2059,24,3,22,0.10377358490566038
2059,23,7,29,0.13679245283018868
2059,22,1,30,0.14150943396226415
2059,21,2,32,0.1509433962264151
2059,19,1,33,0.15566037735849056
2059,18,9,42,0.19811320754716982
2059,17,1,43,0.2028301886792453
2059,16,1,44,0.20754716981132076
2059,15,5,49,0.23113207547169812
2059,14,1,50,0.2358490566037736
2059,13,2,52,0.24528301886792453
2059,12,5,57,0.2688679245283019
2059,11,3,60,0.2830188679245283
2059,10,5,65,0.30660377358490565
2059,9,13,78,0.36792452830188677
2059,8,11,89,0.419811320754717
2059,7,26,115,0.5424528301886793
2059,6,5,120,0.5660377358490566
2059,5,7,127,0.5990566037735849
2059,4,9,136,0.6415094339622641
2059,3,17,153,0.7216981132075472
2059,2,5,158,0.7452830188679245
2059,1,11,169,0.7971698113207547
2059,0,6,175,0.8254716981132075
2060,60,2,2,0.004219409282700422
2060,51,2,4,0.008438818565400843
2060,50,2,6,0.012658227848101266
2060,45,2,8,0.016877637130801686
2060,44,1,9,0.0189873417721519
2060,43,2,11,0.023206751054852322
2060,41,1,12,0.02531645569620253
2060,40,1,13,0.027426160337552744
2060,38,1,14,0.029535864978902954
2060,36,1,15,0.03164556962025317
2060,34,1,16,0.03375527426160337
2060,33,2,18,0.0379746835443038
2060,32,1,19,0.04008438818565401
2060,31,1,20,0.04219409282700422
2060,30,1,21,0.04430379746835443
2060,29,3,24,0.05063291139240506
2060,28,1,25,0.052742616033755275
2060,27,5,30,0.06329113924050633
2060,26,9,39,0.08227848101265822
2060,25,9,48,0.10126582278481013
2060,24,6,54,0.11392405063291139
2060,23,4,58,0.12236286919831224
2060,22,1,59,0.12447257383966245
2060,21,3,62,0.1308016877637131
2060,20,6,68,0.14345991561181434
2060,19,8,76,0.16033755274261605
2060,18,4,80,0.16877637130801687
2060,17,6,86,0.18143459915611815
2060,16,15,101,0.21308016877637131
2060,15,11,112,0.23628691983122363
2060,14,4,116,0.24472573839662448
2060,13,6,122,0.25738396624472576
2060,12,15,137,0.2890295358649789
2060,11,10,147,0.310126582278481
2060,10,14,161,0.339662447257384
2060,9,8,169,0.35654008438818563
2060,8,15,184,0.3881856540084388
2060,7,20,204,0.43037974683544306
2060,6,11,215,0.45358649789029537
2060,5,28,243,0.5126582278481012
2060,4,30,273,0.5759493670886076
2060,3,50,323,0.6814345991561181
2060,2,80,403,0.8502109704641351
2060,1,19,422,0.890295358649789
2060,0,28,450,0.9493670886075949
2079,67,1,1,0.0030120481927710845
2079,66,1,2,0.006024096385542169
2079,62,1,3,0.009036144578313253
2079,60,1,4,0.012048192771084338
