tournament_name,year,total_players,num_sections,sections
American Open,2003,53,1,"{""Main"": 53}"
American Open,2004,53,1,"{""Main"": 53}"
American Open,2005,53,1,"{""Main"": 53}"
American Open,2006,53,1,"{""Main"": 53}"
American Open,2007,53,1,"{""Main"": 53}"
American Open,2008,53,1,"{""Main"": 53}"
American Open,2009,53,1,"{""Main"": 53}"
American Open,2010,53,1,"{""Main"": 53}"
American Open,2011,53,1,"{""Main"": 53}"
American Open,2012,53,1,"{""Main"": 53}"
American Open,2013,53,1,"{""Main"": 53}"
American Open,2014,53,1,"{""Main"": 53}"
American Open,2015,53,1,"{""Main"": 53}"
American Open,2016,53,1,"{""Main"": 53}"
American Open,2017,53,1,"{""Main"": 53}"
American Open,2018,53,1,"{""Main"": 53}"
American Open,2019,53,1,"{""Main"": 53}"
American Open,2020,53,1,"{""Main"": 53}"
American Open,2021,53,1,"{""Main"": 53}"
American Open,2022,53,1,"{""Main"": 53}"
American Open,2023,53,1,"{""Main"": 53}"
American Open,2024,53,1,"{""Main"": 53}"
American Open,2025,53,1,"{""Main"": 53}"
Atlantic,2025,311,9,"{""Major!"": 47, ""Under 2100"": 48, ""Under 1900"": 32, ""Under 1700"": 29, ""Under 1500"": 32, ""Under 1300"": 25, ""Under 1000"": 29, ""Mixed Doubles Teams!"": 32, ""Blitz"": 37}"
Atlantic City Open,2003,53,1,"{""Main"": 53}"
Atlantic City Open,2004,53,1,"{""Main"": 53}"
Atlantic City Open,2005,53,1,"{""Main"": 53}"
Atlantic City Open,2006,53,1,"{""Main"": 53}"
Atlantic City Open,2007,53,1,"{""Main"": 53}"
Atlantic City Open,2008,53,1,"{""Main"": 53}"
Atlantic City Open,2009,53,1,"{""Main"": 53}"
Atlantic City Open,2010,53,1,"{""Main"": 53}"
Atlantic City Open,2011,53,1,"{""Main"": 53}"
Atlantic City Open,2012,53,1,"{""Main"": 53}"
Atlantic City Open,2013,53,1,"{""Main"": 53}"
Atlantic City Open,2014,53,1,"{""Main"": 53}"
Atlantic City Open,2015,53,1,"{""Main"": 53}"
Atlantic City Open,2016,53,1,"{""Main"": 53}"
Atlantic City Open,2017,53,1,"{""Main"": 53}"
Atlantic City Open,2018,53,1,"{""Main"": 53}"
Atlantic City Open,2019,53,1,"{""Main"": 53}"
Atlantic City Open,2020,53,1,"{""Main"": 53}"
Atlantic City Open,2021,53,1,"{""Main"": 53}"
Atlantic City Open,2022,53,1,"{""Main"": 53}"
Atlantic City Open,2023,53,1,"{""Main"": 53}"
Atlantic City Open,2024,53,1,"{""Main"": 53}"
Atlantic City Open,2025,53,1,"{""Main"": 53}"
Atlantic Open,2003,1,1,"{""Main"": 1}"
Atlantic Open,2004,1,1,"{""Main"": 1}"
Atlantic Open,2005,1,1,"{""Main"": 1}"
Atlantic Open,2006,1,1,"{""Main"": 1}"
Atlantic Open,2007,1,1,"{""Main"": 1}"
Atlantic Open,2008,1,1,"{""Main"": 1}"
Atlantic Open,2009,1,1,"{""Main"": 1}"
Atlantic Open,2010,1,1,"{""Main"": 1}"
Atlantic Open,2011,1,1,"{""Main"": 1}"
Atlantic Open,2012,1,1,"{""Main"": 1}"
Atlantic Open,2013,1,1,"{""Main"": 1}"
Atlantic Open,2014,1,1,"{""Main"": 1}"
Atlantic Open,2015,1,1,"{""Main"": 1}"
Atlantic Open,2016,1,1,"{""Main"": 1}"
Atlantic Open,2017,1,1,"{""Main"": 1}"
Atlantic Open,2018,1,1,"{""Main"": 1}"
Atlantic Open,2019,1,1,"{""Main"": 1}"
Atlantic Open,2020,1,1,"{""Main"": 1}"
Atlantic Open,2021,1,1,"{""Main"": 1}"
Atlantic Open,2022,1,1,"{""Main"": 1}"
Atlantic Open,2023,1,1,"{""Main"": 1}"
Atlantic Open,2024,1,1,"{""Main"": 1}"
Atlantic Open,2025,1,1,"{""Main"": 1}"
Boardwalk,2015,151,6,"{""Open"": 27, ""Under 2100"": 51, ""Under 1700"": 25, ""Under 1300"": 21, ""Mixed Doubles Teams"": 9, ""Blitz"": 18}"
Boston,2026,413,8,"{""Premier!"": 65, ""Under 2100"": 91, ""Under 1900"": 44, ""Under 1700"": 54, ""Under 1500"": 40, ""Under 1200"": 59, ""Mixed Doubles Teams"": 23, ""Blitz"": 37}"
Bradley,2025,285,7,"{""Major"": 57, ""Under 2100"": 61, ""Under 1800"": 47, ""Under 1500"": 26, ""Under 1200"": 46, ""Mixed Doubles Teams"": 23, ""Blitz"": 25}"
Centralcalifornia,2025,220,6,"{""Major!"": 47, ""Under 2100"": 63, ""Under 1700"": 30, ""Under 1300"": 36, ""Mixed Doubles Teams"": 9, ""Blitz"": 35}"
Centralnewyork,2023,189,7,"{""Open"": 28, ""Under 2000"": 31, ""Under 1700"": 29, ""Under 1400"": 54, ""Mixed Doubles Teams!"": 6, ""College and K-12 Teams"": 31, ""Blitz"": 10}"
Chicago Open,2003,1,1,"{""Main"": 1}"
Chicago Open,2004,1,1,"{""Main"": 1}"
Chicago Open,2005,1,1,"{""Main"": 1}"
Chicago Open,2006,1,1,"{""Main"": 1}"
Chicago Open,2007,1,1,"{""Main"": 1}"
Chicago Open,2008,1,1,"{""Main"": 1}"
Chicago Open,2009,1,1,"{""Main"": 1}"
Chicago Open,2010,1,1,"{""Main"": 1}"
Chicago Open,2011,1,1,"{""Main"": 1}"
Chicago Open,2012,1,1,"{""Main"": 1}"
Chicago Open,2013,1,1,"{""Main"": 1}"
Chicago Open,2014,1,1,"{""Main"": 1}"
Chicago Open,2015,1,1,"{""Main"": 1}"
Chicago Open,2016,1,1,"{""Main"": 1}"
Chicago Open,2017,1,1,"{""Main"": 1}"
Chicago Open,2018,1,1,"{""Main"": 1}"
Chicago Open,2019,1,1,"{""Main"": 1}"
Chicago Open,2020,1,1,"{""Main"": 1}"
Chicago Open,2021,1,1,"{""Main"": 1}"
Chicago Open,2022,1,1,"{""Main"": 1}"
Chicago Open,2023,1,1,"{""Main"": 1}"
Chicago Open,2024,1,1,"{""Main"": 1}"
Chicago Open,2025,1,1,"{""Main"": 1}"
Chicagoclass,2025,366,9,"{""Master"": 37, ""Expert"": 51, ""Class A"": 52, ""Class B"": 53, ""Class C"": 42, ""Class D"": 27, ""Class E"": 41, ""Mixed Doubles Teams"": 25, ""Blitz"": 38}"
Cleveland,2025,250,7,"{""Major"": 37, ""Under 2100"": 59, ""Under 1800"": 35, ""Under 1500"": 29, ""Under 1200"": 34, ""Mixed Doubles Teams"": 21, ""Blitz"": 35}"
Continentalclass,2023,230,10,"{""Master"": 25, ""Expert"": 26, ""Class A"": 26, ""Class B"": 27, ""Class C"": 26, ""Class D"": 22, ""Class E"": 20, ""Under 1000 Section"": 27, ""Mixed Doubles Teams!"": 13, ""Saturday Blitz Championship!"": 18}"
Continentalopen,2025,340,9,"{""Premier Section!"": 50, ""Under 2100 Section"": 63, ""Under 1900 Section"": 33, ""Under 1700 Section"": 47, ""Under 1500 Section"": 26, ""Under 1300 Section"": 18, ""Under 1100 Section"": 36, ""Mixed Doubles Teams!"": 20, ""Blitz!"": 47}"
Eastern Open,2003,53,1,"{""Main"": 53}"
Eastern Open,2004,53,1,"{""Main"": 53}"
Eastern Open,2005,53,1,"{""Main"": 53}"
Eastern Open,2006,53,1,"{""Main"": 53}"
Eastern Open,2007,53,1,"{""Main"": 53}"
Eastern Open,2008,53,1,"{""Main"": 53}"
Eastern Open,2009,53,1,"{""Main"": 53}"
Eastern Open,2010,53,1,"{""Main"": 53}"
Eastern Open,2011,53,1,"{""Main"": 53}"
Eastern Open,2012,53,1,"{""Main"": 53}"
Eastern Open,2013,53,1,"{""Main"": 53}"
Eastern Open,2014,53,1,"{""Main"": 53}"
Eastern Open,2015,53,1,"{""Main"": 53}"
Eastern Open,2016,53,1,"{""Main"": 53}"
Eastern Open,2017,53,1,"{""Main"": 53}"
Eastern Open,2018,53,1,"{""Main"": 53}"
Eastern Open,2019,53,1,"{""Main"": 53}"
Eastern Open,2020,53,1,"{""Main"": 53}"
Eastern Open,2021,53,1,"{""Main"": 53}"
Eastern Open,2022,53,1,"{""Main"": 53}"
Eastern Open,2023,53,1,"{""Main"": 53}"
Eastern Open,2024,53,1,"{""Main"": 53}"
Eastern Open,2025,53,1,"{""Main"": 53}"
Easternchesscongress,2025,579,9,"{""Premier"": 106, ""Under 2100"": 113, ""Under 1900"": 57, ""Under 1700"": 56, ""Under 1500"": 41, ""Under 1300"": 56, ""Under 1000"": 46, ""Saturday Night Blitz!"": 44, ""Mixed Doubles Teams!"": 60}"
Easternclass,2025,232,9,"{""Master (Over 2099)"": 26, ""Expert (1900-2199)"": 40, ""Class A (1700-1999/Unr.)"": 37, ""Class B (1500-1799/Unr.)"": 30, ""Class C (1300-1599/Unr.)"": 18, ""Class D (Under 1400/Unr.)"": 20, ""Class E (Under 1200/Unr.)"": 23, ""Mixed Doubles Teams!"": 19, ""Saturday Night Blitz!"": 19}"
Empirecity,2019,379,8,"{""Major"": 64, ""Under 2100"": 70, ""Under 1900"": 52, ""Under 1700"": 47, ""Under 1500"": 42, ""Under 1200"": 48, ""Mixed Doubles Teams"": 30, ""Blitz"": 26}"
Empirestate,2021,293,13,"{""Open"": 51, ""Under 2000"": 24, ""Under 1700"": 35, ""Under 1400"": 36, ""Mixed Doubles Teams"": 13, ""Blitz"": 26, ""NY State Under 13 Action Champ"": 8, ""NY State Under 13 Action Under"": 15, ""NY State Junior Championship"": 10, ""NY State Under 16 Championship"": 15, ""NY State U13 Championship"": 17, ""NY State Under 13 Under 1000"": 13, ""NY State Under 10 Championship"": 30}"
Foxwoods,2024,513,8,"{""Open"": 84, ""Under 2200"": 119, ""Under 2000"": 72, ""Under 1800"": 64, ""Under 1600"": 48, ""Under 1400"": 41, ""Under 1100"": 44, ""Mixed Doubles Teams"": 41}"
Georgewashington,2026,217,6,"{""Major"": 55, ""Under 2100"": 53, ""Under 1800"": 39, ""Under 1500"": 34, ""Under 1200"": 22, ""Mixed Doubles Teams"": 14}"
Goldenstate,2026,434,7,"{""Major"": 65, ""Under 2100"": 129, ""Under 1800"": 90, ""Under 1500"": 54, ""Under 1200"": 55, ""Mixed Doubles Teams"": 22, ""Blitz"": 19}"
Hartford,2025,211,7,"{""Major"": 54, ""Under 2100"": 49, ""Under 1800"": 37, ""Under 1500"": 15, ""Under 1200"": 26, ""Mixed Doubles Teams"": 10, ""Blitz"": 20}"
Indianapolis,2025,237,7,"{""Major"": 50, ""Under 2100"": 50, ""Under 1800"": 31, ""Under 1500"": 24, ""Under 1200"": 32, ""Mixed Doubles Teams"": 12, ""Blitz"": 38}"
International,2025,122,1,"{""International"": 122}"
Kingsisland,2025,382,8,"{""Major"": 62, ""Under 2100"": 70, ""Under 1900"": 52, ""Under 1700"": 46, ""Under 1500"": 49, ""Under 1250"": 37, ""Under 1000"": 41, ""Mixed Doubles Teams"": 25}"
Liberty Bell,2003,1,1,"{""Main"": 1}"
Liberty Bell,2004,1,1,"{""Main"": 1}"
Liberty Bell,2005,1,1,"{""Main"": 1}"
Liberty Bell,2006,1,1,"{""Main"": 1}"
Liberty Bell,2007,1,1,"{""Main"": 1}"
Liberty Bell,2008,1,1,"{""Main"": 1}"
Liberty Bell,2009,1,1,"{""Main"": 1}"
Liberty Bell,2010,1,1,"{""Main"": 1}"
Liberty Bell,2011,1,1,"{""Main"": 1}"
Liberty Bell,2012,1,1,"{""Main"": 1}"
Liberty Bell,2013,1,1,"{""Main"": 1}"
Liberty Bell,2014,1,1,"{""Main"": 1}"
Liberty Bell,2015,1,1,"{""Main"": 1}"
Liberty Bell,2016,1,1,"{""Main"": 1}"
Liberty Bell,2017,1,1,"{""Main"": 1}"
Liberty Bell,2018,1,1,"{""Main"": 1}"
Liberty Bell,2019,1,1,"{""Main"": 1}"
Liberty Bell,2020,1,1,"{""Main"": 1}"
Liberty Bell,2021,1,1,"{""Main"": 1}"
Liberty Bell,2022,1,1,"{""Main"": 1}"
Liberty Bell,2023,1,1,"{""Main"": 1}"
Liberty Bell,2024,1,1,"{""Main"": 1}"
Liberty Bell,2025,1,1,"{""Main"": 1}"
