tournament_name,year,start_date,end_date,state,total_entries,sections,schedule_dist,unique_states,withdrawal_count,rating_mean,rating_median,rating_std
2026 Southern Class,2026,2026-03-13,2026-03-15,Florida,0,,,,,,,
2026 Western Class Championshps,2026,2026-03-06,2026-03-08,California,0,,,,,,,
2026 New York State Scholastic Championships Grades K-8,2026,2026-03-07,2026-03-08,New York,0,,,,,,,
2026 George Washington Open,2026,2026-02-27,2026-03-01,Virginia,0,,"{""3-day"": 117, ""2-day"": 92}",,11,,,
2026 George Washington Sunday Octos,2026,2026-03-01,2026-03-01,Virginia,0,,,,,,,
2026 New York State High School Championship,2026,2026-02-28,2026-03-01,New York,0,,,,5,,,
2026 New York State Senior Championship (With Young Adult/Middle Age Section),2026,2026-02-28,2026-03-01,New York,0,,,,,,,
2026 George Washington Saturday Octos,2026,2026-02-28,2026-02-28,Virginia,0,,,,,,,
2026 Southwest Class Championships,2026,2026-02-12,2026-02-16,Texas,0,,"{""3-day"": 98, ""2-day"": 97}",,7,,,
2026 Liberty Bell Open,2026,2026-01-16,2026-01-19,Pennsylvania,0,,"{""2-day"": 74, ""3-day"": 217, ""4-day"": 273}",,11,,,
2026 Golden State Open,2026,2026-01-16,2026-01-19,California,0,,"{""3-day"": 170, ""4-day"": 146, ""2-day"": 70}",,7,,,
2026 Boston Chess Congress,2026,2026-01-02,2026-01-04,Massachusetts,0,,"{""3-day"": 226, ""2-day"": 132}",,16,,,
2025 North American Open,2025,2025-12-26,2025-12-30,Nevada,0,,"{""5-day"": 133, ""4-day"": 737, ""3-day"": 383}",,74,,,
2025 North American Blitz Championship,2025,2025-12-29,2025-12-30,Nevada,0,,,,,,,
2025 Eastern Open,2025,2025-12-26,2025-12-29,Virginia,0,,"{""4-day"": 269, ""2-day"": 39, ""3-day"": 81}",,13,,,
2025 National Chess Congress,2025,2025-11-28,2025-11-30,Pennsylvania,0,,"{""2-day"": 295, ""3-day"": 410}",,18,,,
2025 Kings Island Open,2025,2025-11-14,2025-11-16,Ohio,0,,"{""2-day"": 150, ""3-day"": 206}",,14,,,
2025 Los Angeles Open,2025,2025-11-07,2025-11-09,California,0,,"{""2-day"": 202, ""3-day"": 194}",,14,,,
2025 Eastern Chess Congress,2025,2025-10-24,2025-10-26,New Jersey,0,,"{""2-day"": 93, ""3-day"": 102}",,6,,,
2025 Midwest Class Championships,2025,2025-10-10,2025-10-12,Illinois,0,,,,,,,
2025 Hartford Open,2025,2025-10-10,2025-10-12,Connecticut,0,,"{""3-day"": 101, ""2-day"": 88}",,12,,,
2025 New York State Championship,2025,2025-08-29,2025-09-01,New York,0,,"{""3-day"": 234, ""4-day"": 71, ""2-day"": 43}",,15,,,
2025 Atlantic Open,2025,2025-08-22,2025-08-24,District Of Columbia,0,,"{""3-day"": 119, ""2-day"": 118}",,4,,,
2025 Central California Open,2025,2025-08-22,2025-08-24,California,0,,,,,,,
2025 Indianapolis Open,2025,2025-08-22,2025-08-24,Indiana,0,,,,,,,
2025 Continental Open,2025,2025-08-14,2025-08-17,Massachusetts,0,,,,,,,
2025 Pacific Coast Open,2025,2025-08-08,2025-08-10,California,0,,,,,,,
2025 Southern Open,2025,2025-07-25,2025-07-27,Florida,0,,,,,,,
2025 Bradley Open,2025,2025-07-25,2025-07-27,Connecticut,0,,,,,,,
2025 Chicago Class,2025,2025-07-18,2025-07-20,Illinois,0,,,,,,,
2025 Pittsburgh Open,2025,2025-07-18,2025-07-20,Pennsylvania,0,,,,,,,
"2025 World Open, top 6 sections",2025,2025-07-02,2025-07-06,Pennsylvania,0,,,,,,,
2025 World Open Blitz Championship,2025,2025-07-06,2025-07-06,Pennsylvania,0,,,,,,,
2025 World Open G/10 Championship,2025,2025-07-05,2025-07-05,Pennsylvania,0,,,,,,,
2025 World Open G/7 Championship,2025,2025-07-02,2025-07-02,Pennsylvania,0,,,,,,,
2025 World Open Under 13 Championship,2025,2025-06-30,2025-07-01,Pennsylvania,0,,,,,,,
2025 World Open Amateur,2025,2025-06-30,2025-07-01,Pennsylvania,0,,,,,,,
2025 World Open Senior Amateur,2025,2025-06-30,2025-07-01,Pennsylvania,0,,,,,,,
2025 World Open Womens Championship,2025,2025-06-30,2025-07-01,Pennsylvania,0,,,,,,,
2025 World Open Action,2025,2025-07-01,2025-07-01,Pennsylvania,0,,,,,,,
2025 Philadelphia International,2025,2025-06-26,2025-06-30,Pennsylvania,0,,,,,,,
"2025 World Open, lower sections",2025,2025-06-27,2025-06-29,Pennsylvania,0,,,,,,,
2025 Philadelphia Open,2025,2025-06-27,2025-06-29,Pennsylvania,0,,,,,,,
World Open Junior Octos,2025,2025-06-26,2025-06-26,Pennsylvania,0,,,,,,,
Philadelphia Octos,2025,2025-06-26,2025-06-26,Pennsylvania,0,,,,,,,
2025 New York State Open,2025,2025-06-20,2025-06-22,New York,0,,,,,,,
2025 Cleveland Open,2025,2025-06-13,2025-06-15,Ohio,0,,,,,,,
2025 Eastern Class,2025,2025-06-06,2025-06-08,Connecticut,0,,,,,,,
2025 Chicago Open,2025,2025-05-22,2025-05-26,Illinois,0,,,,,,,
2025 Chicago Open Blitz,2025,2025-05-25,2025-05-25,Illinois,0,,,,,,,
2025 Niagara Falls Open,2025,2025-05-02,2025-05-04,New York,0,,,,,,,
2025 Princeton Open,2025,2025-04-16,2025-04-20,New Jersey,0,,,,,,,
2025 Mid-America Open,2025,2025-03-21,2025-03-23,Missouri,0,,,,,,,
2025 New York State High School Championship,2025,2025-03-15,2025-03-16,New York,0,,,,,,,
2025 New York State Senior Championship (With Young Adult/Middle Age Section),2025,2025-03-15,2025-03-16,New York,0,,,,,,,
2025 Western Class Championshps,2025,2025-03-07,2025-03-09,California,0,,,,,,,
2025 New York State Scholastic Championships Grades K-8,2025,2025-03-08,2025-03-09,New York,0,,,,,,,
2025 Southern Class,2025,2025-03-07,2025-03-09,Florida,0,,,,,,,
WAIT LIST-2025 New York State Scholastic Championships Grades K-8,2025,2025-03-08,2025-03-09,New York,0,,,,,,,
2025 George Washington Open,2025,2025-02-21,2025-02-23,Virginia,0,,,,,,,
2025 Southwest Class Championships,2025,2025-02-13,2025-02-17,Texas,0,,,,,,,
2025 Liberty Bell Open,2025,2025-01-17,2025-01-20,Pennsylvania,0,,,,,,,
2025 Golden State Open,2025,2025-01-17,2025-01-20,California,0,,,,,,,
2025 Boston Chess Congress,2025,2025-01-03,2025-01-05,Massachusetts,0,,,,,,,
2024 North American Open,2024,2024-12-26,2024-12-30,Nevada,0,,,,,,,
2024 North American Blitz Championship,2024,2024-12-29,2024-12-30,Nevada,0,,,,,,,
2024 Eastern Open,2024,2024-12-26,2024-12-29,Virginia,0,,,,,,,
2024 National Chess Congress,2024,2024-11-29,2024-12-01,Pennsylvania,0,,,,,,,
2024 Kings Island Open,2024,2024-11-15,2024-11-17,Ohio,0,,,,,,,
2024 Los Angeles Open,2024,2024-11-01,2024-11-03,California,0,,,,,,,
2024 Eastern Chess Congress,2024,2024-10-25,2024-10-27,New Jersey,0,,,,,,,
2024 Hartford Open,2024,2024-10-18,2024-10-20,Connecticut,0,,,,,,,
2024 Midwest Class Championships,2024,2024-10-11,2024-10-13,Illinois,0,,,,,,,
2024 New York State Championship,2024,2024-08-30,2024-09-02,New York,0,,,,,,,
2024 Indianapolis Open,2024,2024-08-23,2024-08-25,Indiana,0,,,,,,,
