tournament_name,year,event_start,early_bird_fee,early_bird_deadline,regular_fee,regular_deadline,onsite_fee,prize_fund,has_eb_phrasing,eb_demoted_reason,url
chccb26,2026,2026-07-18,,,,,48,,False,,http://www.chesstour.com/chccb26.htm
aco26,2026,2026-04-01,,,218,2026-03-30,240,,False,"only one date-bound tier ($218 by 2026-03-30, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/aco26.htm
2022 Atlantic Open chess tournament,2022,2022-08-26,,,138,2022-08-24,142,,False,"deadline 2022-08-24 is T-2 (< T-14) vs event 2022-08-26 — advance/onsite step, not early bird",https://www.chesstour.com/ao22.htm
Atlantic Open chess tournament,2023,2023-08-25,,,148,2023-08-23,,,False,"only one date-bound tier ($148 by 2023-08-23, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/ao23.htm
ao24,2024,2024-08-23,,,148,2024-08-21,,,False,"only one date-bound tier ($148 by 2024-08-21, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/ao24.htm
ao26,2026,2026-08-21,,,148,2026-08-18,,,False,"only one date-bound tier ($148 by 2026-08-18, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/ao26.htm
aob26,2026,2026-08-22,,,,,48,,False,,https://www.chesstour.com/aob26.htm
brad26,2026,2026-07-24,,,118,2026-07-21,130,,False,"only one date-bound tier ($118 by 2026-07-21, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/brad26.htm
2022 Central California Open chess tournament,2022,2022-08-19,,,93,2022-08-17,97,,False,"deadline 2022-08-17 is T-2 (< T-14) vs event 2022-08-19 — advance/onsite step, not early bird",https://www.chesstour.com/cco22.htm
Central California Open chess tournament,2023,2023-08-11,,,98,2023-08-09,,,False,"only one date-bound tier ($98 by 2023-08-09, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/cco23.htm
Central California Open chess tournament,2024,2024-08-09,,,98,2024-08-07,,,False,"only one date-bound tier ($98 by 2024-08-07, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/cco24.htm
Central California Open chess tournament,2025,2025-08-22,,,98,2025-08-19,,,False,"only one date-bound tier ($98 by 2025-08-19, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/cco25.htm
Central California Open chess tournament,2026,2026-08-14,,,98,2026-08-12,,,False,"only one date-bound tier ($98 by 2026-08-12, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/cco26.htm
CHICAGO CLASS CHAMPIONSHIPS,2026,2026-07-17,,,148,2026-07-14,170,,False,"only one date-bound tier ($148 by 2026-07-14, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/chcc26.htm
31st annual,2022,2022-05-26,207,2022-03-22,227,2022-05-25,40,10000,False,,https://www.chesstour.com/chio22.htm
Chicago Open,2023,2023-05-25,207,2023-03-21,227,2023-05-24,250,10000,False,,https://www.chesstour.com/chio23.htm
chio24,2024,2024-05-23,207,2024-03-19,227,2024-05-22,250,10000,False,,https://www.chesstour.com/chio24.htm
chio25,2025,2025-05-22,207,2025-03-21,227,2025-05-21,250,,False,,https://www.chesstour.com/chio25.htm
chio26,2026,2026-05-21,207,2026-03-19,227,2026-05-19,250,,False,,https://www.chesstour.com/chio26.htm
cono26,2026,2026-08-13,,,158,2026-08-11,180,3000,False,"only one date-bound tier ($158 by 2026-08-11, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/cono26.htm
conob26,2026,2026-08-15,,,,,48,,False,,https://www.chesstour.com/conob26.htm
dci26,2026,2026-06-25,800,2026-05-15,825,2026-06-23,200,6000,False,,https://www.chesstour.com/dci26.htm
dco26,2026,2026-06-26,,,118,2026-06-24,140,,False,"only one date-bound tier ($118 by 2026-06-24, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/dco26.htm
2022 Eastern Open chess tournament,2022,2022-12-26,,,148,2022-12-23,,3000,False,"only one date-bound tier ($148 by 2022-12-23, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/eo22.htm
2023 Eastern Open chess tournament,2023,2023-12-26,,,148,2023-12-23,,3000,False,"only one date-bound tier ($148 by 2023-12-23, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/eo23.htm
2023 Eastern Open chess tournament,2024,2024-12-26,,,148,2024-12-23,170,,False,"only one date-bound tier ($148 by 2024-12-23, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/eo24.htm
2023 Eastern Open chess tournament,2025,2025-12-26,,,148,2025-12-23,170,,False,"only one date-bound tier ($148 by 2025-12-23, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/eo25.htm
io26,2026,2026-08-21,,,118,2026-08-18,,,False,"only one date-bound tier ($118 by 2026-08-18, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/io26.htm
NORTH AMERICAN OPEN CHESS TOURNAMENT,2022,2022-12-26,245,2022-09-20,275,2022-12-23,,125000,False,,https://www.chesstour.com/nao22.htm
NORTH AMERICAN OPEN CHESS TOURNAMENT,2023,2023-12-26,245,2023-09-20,275,2023-12-23,,130000,False,,https://www.chesstour.com/nao23.htm
nao24,2024,2024-12-26,245,2024-09-20,275,2024-12-23,,800,False,,https://www.chesstour.com/nao24.htm
nao25,2025,2025-12-26,245,2025-09-20,275,2025-12-23,,800,False,,https://www.chesstour.com/nao25.htm
National Chess Congress,2022,,,,138,2022-11-23,160,,False,could not parse event_start from flyer,https://www.chesstour.com/ncc22.htm
ncc23,2023,,,,138,2023-11-22,160,,False,could not parse event_start from flyer,https://www.chesstour.com/ncc23.htm
ncc24,2024,2024-12-01,,,138,2024-11-27,160,,False,"only one date-bound tier ($138 by 2024-11-27, T-4) — advance/onsite step, not early bird",https://www.chesstour.com/ncc24.htm
ncc25,2025,,,,138,2025-11-25,160,,False,could not parse event_start from flyer,https://www.chesstour.com/ncc25.htm
nysc26,2026,2026-09-04,,,118,2026-09-01,130,200,False,"only one date-bound tier ($118 by 2026-09-01, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/nysc26.htm
pco26,2026,2026-08-01,,,158,2026-07-28,180,,False,"only one date-bound tier ($158 by 2026-07-28, T-4) — advance/onsite step, not early bird",https://www.chesstour.com/pco26.htm
pcob26,2026,2026-08-01,,,,,48,,False,,https://www.chesstour.com/pcob26.htm
Pittsburgh Open,2026,2026-07-17,,,118,2026-07-14,130,,False,"only one date-bound tier ($118 by 2026-07-14, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/pit26.htm
Southern Class Championships,2022,2022-03-18,,,118,2022-03-16,122,,False,"deadline 2022-03-16 is T-2 (< T-14) vs event 2022-03-18 — advance/onsite step, not early bird",https://www.chesstour.com/scc22.htm
Southern Class Championships,2023,2023-03-17,,,118,2023-03-15,,,False,"only one date-bound tier ($118 by 2023-03-15, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/scc23.htm
scc24,2024,2024-03-15,,,118,2024-03-13,,,False,"only one date-bound tier ($118 by 2024-03-13, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/scc24.htm
scc25,2025,2025-03-07,,,118,2025-03-05,130,,False,"only one date-bound tier ($118 by 2025-03-05, T-2) — advance/onsite step, not early bird",https://www.chesstour.com/scc25.htm
scc26,2026,2026-03-13,,,118,2026-03-10,130,,False,"only one date-bound tier ($118 by 2026-03-10, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/scc26.htm
Southern Open chess tournament,2026,2026-07-17,,,128,2026-07-14,,,False,"only one date-bound tier ($128 by 2026-07-14, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/so26.htm
