family,year,start_date,end_date,early_bird_deadline,early_bird_fee,regular_fee,onsite_fee,venue_city,venue_state
April Action,2023,2023-04-13,2023-04-16,,,,,,
April Classic,2024,2024-04-11,2024-04-14,,,,,,
April Game 60,2022,2022-04-28,2022-05-01,,,,,,
April Open,2022,2022-04-07,2022-04-10,,,,,,
April Open,2023,2023-03-30,2023-04-02,,,,,,
April Rapid,2022,2022-04-14,2022-04-17,,,,,,
Atlantic Action,2022,2022-08-18,2022-08-21,,,,,,
Atlantic City Open,2026,2026-04-01,2026-04-05,,,,,Atlantic City,NJ
Atlantic Open,2021,2021-08-26,2021-08-29,,,,,,
Atlantic Open,2022,2022-08-25,2022-08-28,,,,,,
Atlantic Open,2023,2023-08-24,2023-08-27,,,,,,
Atlantic Open,2024,2024-08-22,2024-08-25,,198.0,218.0,230.0,Atlantic City,NJ
Atlantic Open,2025,2025-08-21,2025-08-24,,208.0,228.0,240.0,Atlantic City,NJ
Atlantic Open,2026,2026-08-21,2026-08-23,,,,,Atlantic City,NJ
August Action,2023,2023-08-17,2023-08-20,,,,,,
August Open,2021,2021-08-19,2021-08-22,,,,,,
August Open,2022,2022-08-04,2022-08-07,,,,,,
August Open,2023,2023-08-03,2023-08-06,,,,,,
Blitz at Foxwoods,2023,2023-04-06,2023-04-09,,,,,,
Boston Chess Congress,2022,2022-01-06,2022-01-09,,,,,,
Boston Chess Congress,2023,2023-01-05,2023-01-08,,,,,,
Boston Chess Congress,2024,2024-01-04,2024-01-07,,,,,,
Boston Chess Congress,2025,2025-01-02,2025-01-05,,,,,,
Boston Chess Congress,2026,2026-01-01,2026-01-04,,,,,,
Bradley Open,2022,2022-07-14,2022-07-17,,,,,,
Bradley Open,2023,2023-07-27,2023-07-30,,,,,,
Bradley Open,2024,2024-07-25,2024-07-28,,,,,,
Bradley Open,2025,2025-07-24,2025-07-27,,,,,,
Bradley Open,2026,2026-07-24,2026-07-26,,,,,,CT
CCA-ICC October Scholastic,2021,2021-10-14,2021-10-17,,,,,,
CCA-ICC September Scholastic,2021,2021-09-16,2021-09-19,,,,,,
Central California Open,2021,2021-08-18,2021-08-21,,,,,,
Central California Open,2022,2022-08-18,2022-08-21,,,,,,
Central California Open,2023,2023-08-10,2023-08-13,,,,,,
Central California Open,2024,2024-08-07,2024-08-10,,,,,,
Central California Open,2025,2025-08-20,2025-08-23,,,,,,
Central California Open,2026,2026-08-14,2026-08-16,,,,,,California
Central New York Open,2021,2021-10-21,2021-10-24,,,,,,
Central New York Open,2022,2022-10-20,2022-10-23,,,,,,
Central New York Open,2023,2023-09-21,2023-09-24,,,,,,
Chicago Action,2022,2022-05-19,2022-05-22,,,,,,
Chicago Class,2022,2022-07-14,2022-07-17,,,,,,
Chicago Class,2023,2023-07-12,2023-07-15,,,,,,
Chicago Class,2024,2024-07-18,2024-07-21,,,,,,
Chicago Class,2025,2025-07-17,2025-07-20,,108.0,128.0,140.0,Wheeling,IL
Chicago Class,2026,2026-07-17,2026-07-19,2026-11-10,118.0,138.0,150.0,Wheeling,IL
Chicago FIDE U2200,2022,2022-05-25,2022-05-28,,,,,,
Chicago Open,2022,2022-05-26,2022-05-30,2022-03-24,169.0,189.0,210.0,Wheeling,IL
Chicago Open,2023,2023-05-25,2023-05-29,2023-03-23,179.0,199.0,220.0,Wheeling,IL
Chicago Open,2024,2024-05-23,2024-05-27,2024-03-21,189.0,209.0,230.0,Wheeling,IL
