tid,tournament_name,family,tournament_year,final_count,has_timestamps,ts_count,first_reg,last_reg,is_covid,is_online,snapshot_last_reg,early_bird_spike,spike_day,spike_magnitude,roster_pending
5,2012 Atlantic Open,Atlantic Open,2012.0,267,False,0,,,False,False,,False,,,False
6,2012 Indianapolis Open,Indianapolis Open,2012.0,161,False,0,,,False,False,,False,,,False
7,2012 Manhattan Open,Manhattan Open,2012.0,281,False,0,,,False,False,,False,,,False
8,2012 Central California Open,Central California Open,2012.0,114,False,0,,,False,False,,False,,,False
10,42nd annual Continental Open,42nd annual Continental Open,,166,False,0,,,False,False,,False,,,False
11,134th annual New York State Championship,134th annual New York State Championship,,135,False,0,,,False,False,,False,,,False
12,3rd annual Hartford Open,3rd annual Hartford Open,,98,False,0,,,False,False,,False,,,False
13,Louisville Open,Louisville Open,,105,False,0,,,False,False,,False,,,False
14,Continental Class Championships,Continental Class Championships,,222,False,0,,,False,False,,False,,,False
15,Los Angeles Open,Los Angeles Open,,144,False,0,,,False,False,,False,,,False
16,Midwest Class Championships,Midwest Class Championships,,195,False,0,,,False,False,,False,,,False
17,Boardwalk Open,Boardwalk Open,,177,False,0,,,False,False,,False,,,False
18,Bahamas International   Amateur,Bahamas International Amateur,,31,False,0,,,False,False,,False,,,False
19,Kings Island Open,Kings Island Open,,278,False,0,,,False,False,,False,,,False
20,National Chess Congress,National Chess Congress,,414,False,0,,,False,False,,False,,,False
21,North American Open,North American Open,,578,False,0,,,False,False,,False,,,False
22,Capital Region Open,Capital Region Open,,23,False,0,,,False,False,,False,,,False
25,Empire City Open,Empire City Open,,259,False,0,,,False,False,,False,,,False
27,Boston Chess Congress,Boston Chess Congress,,156,False,0,,,False,False,,False,,,False
28,Golden State Open,Golden State Open,,239,False,0,,,False,False,,False,,,False
29,Liberty Bell Open,Liberty Bell Open,,379,False,0,,,False,False,,False,,,False
30,New York State Scholastics,New York State Scholastics,,686,False,0,,,False,False,,False,,,False
31,Long Island Open,Long Island Open,,119,False,0,,,False,False,,False,,,False
32,Pittsburgh Open,Pittsburgh Open,,138,False,0,,,False,False,,False,,,False
39,Western Class Championships,Western Class Championships,,182,False,0,,,False,False,,False,,,False
40,Mid-America Open,Mid-America Open,,219,False,0,,,False,False,,False,,,False
41,Eastern Class Championships,Eastern Class Championships,,155,False,0,,,False,False,,False,,,False
42,Southern Class Championships,Southern Class Championships,,178,False,0,,,False,False,,False,,,False
43,Philadelphia Open,Philadelphia Open,,443,False,0,,,False,False,,False,,,False
48,Chicago Open,Chicago Open,,600,False,0,,,False,False,,False,,,False
52,World Open,World Open,,957,False,0,,,False,False,,False,,,False
54,Vermont Resort Open,Vermont Resort Open,,28,False,0,,,False,False,,False,,,False
55,DC International,DC International,,75,False,0,,,False,False,,False,,,False
66,World Open Senior Amateur,World Open Senior Amateur,,32,False,0,,,False,False,,False,,,False
67,World Open Women s Championship,World Open Womens Championship,,24,False,0,,,False,False,,False,,,False
68,World Open Under 13,World Open Under 13,,183,False,0,,,False,False,,False,,,False
69,New York State Open,New York State Open,,56,False,0,,,False,False,,False,,,False
70,Northeast Open,Northeast Open,,151,False,0,,,False,False,,False,,,False
74,Pacific Coast Open,Pacific Coast Open,,188,False,0,,,False,False,,False,,,False
75,Chicago Class,Chicago Class,,261,False,0,,,False,False,,False,,,False
77,2013 Southern Open,Southern Open,2013.0,192,False,0,,,False,False,,False,,,False
