run_timestamp,family,status,current_count,point_estimate,ci_lower,ci_upper,days_remaining
2026-03-23 17:43:19,Atlantic Open,live,0,316,221,411,9
2026-03-23 17:43:19,Chicago Open,live,179,929,871,987,59
2026-03-23 17:43:19,Cleveland Open,live,2,201,179,225,74
2026-03-23 17:43:19,New York State Open,live,1,79,55,102,88
2026-03-23 17:43:19,World Open,live,34,1706,1588,1954,100
2026-03-23 17:43:19,Chicago Class,live,1,294,274,334,116
2026-03-23 17:43:19,Pittsburgh Open,live,2,176,157,190,116
2026-03-23 17:43:19,Bradley Open,live,2,246,193,264,125
2026-03-23 17:43:19,Pacific Coast Open,live,3,361,275,398,130
2026-03-23 17:43:19,Hartford Open,live,3,198,141,213,206
2026-03-23 17:43:19,National Chess Congress,live,0,623,436,810,250
2026-03-23 17:43:19,Boston Chess Congress,complete,359,359,359,359,0
2026-03-23 17:43:19,Liberty Bell Open,complete,564,564,564,564,0
2026-03-23 17:43:19,Golden State Open,complete,387,387,387,387,0
2026-03-23 17:43:19,George Washington Open,complete,209,209,209,209,0
2026-03-23 17:43:19,Southwest Class Championships,complete,492,492,492,492,0
2026-03-23 17:43:19,Atlantic City Open,complete,184,184,184,184,0
2026-03-23 17:43:19,Western Class Championships,complete,318,318,318,318,0
2026-03-23 17:43:19,Mid-America Open,complete,200,200,200,200,0
2026-03-23 17:43:19,New York State High School Championship,complete,198,198,198,198,0
2026-03-23 17:43:19,New York State Senior Championship With Young Adult Mi,complete,61,61,61,61,0
2026-03-23 17:43:19,New York State Scholastic Championships Grades K-8,complete,1753,1753,1753,1753,0
2026-03-23 17:43:19,Southern Class,complete,195,195,195,195,0
2026-03-23 17:48:20,Atlantic City Open,live,184,445,421,470,9
2026-03-23 17:48:20,Atlantic Open,live,0,316,221,411,9
2026-03-23 17:48:20,Chicago Open,live,179,929,871,987,59
2026-03-23 17:48:20,Cleveland Open,live,2,201,179,225,74
2026-03-23 17:48:20,New York State Open,live,1,79,55,102,88
2026-03-23 17:48:20,World Open,live,34,1706,1588,1954,100
2026-03-23 17:48:20,Chicago Class,live,1,294,274,334,116
2026-03-23 17:48:20,Pittsburgh Open,live,2,176,157,190,116
