family,n_years,median_ratio,mean_ratio,std_ratio,min_ratio,max_ratio,cv,tournament_type,years_used
Atlantic Open,1,1.3067,1.3067,0.0,1.3067,1.3067,0.0,open,[2025]
Boston Chess Congress,1,1.1504,1.1504,0.0,1.1504,1.1504,0.0,open,[2026]
Bradley Open,1,1.1585,1.1585,0.0,1.1585,1.1585,0.0,open,[2025]
Central California Open,1,1.2291,1.2291,0.0,1.2291,1.2291,0.0,open,[2025]
Central New York Open,1,1.3597,1.3597,0.0,1.3597,1.3597,0.0,open,[2023]
Chicago Class,1,1.2449,1.2449,0.0,1.2449,1.2449,0.0,class,[2025]
Cleveland Open,1,1.2563,1.2563,0.0,1.2563,1.2563,0.0,open,[2025]
Continental Class,1,1.1616,1.1616,0.0,1.1616,1.1616,0.0,class,[2023]
Continental Open,1,1.283,1.283,0.0,1.283,1.283,0.0,open,[2025]
Eastern Chess Congress,1,1.1889,1.1889,0.0,1.1889,1.1889,0.0,open,[2025]
Eastern Class,1,1.1897,1.1897,0.0,1.1897,1.1897,0.0,class,[2025]
Eastern Open,3,2.2813,2.317,0.0628,2.2802,2.3896,0.0271,open,"[2025, 2024, 2023]"
George Washington Open,1,1.0383,1.0383,0.0,1.0383,1.0383,0.0,open,[2026]
Golden State Open,1,1.1214,1.1214,0.0,1.1214,1.1214,0.0,open,[2026]
Hartford Open,1,1.1164,1.1164,0.0,1.1164,1.1164,0.0,open,[2025]
Indianapolis Open,1,1.2674,1.2674,0.0,1.2674,1.2674,0.0,open,[2025]
Kings Island Open,1,1.073,1.073,0.0,1.073,1.073,0.0,open,[2025]
Liberty Bell Open,1,1.2181,1.2181,0.0,1.2181,1.2181,0.0,open,[2026]
Los Angeles Open,1,1.1814,1.1814,0.0,1.1814,1.1814,0.0,open,[2025]
Mid-America Open,1,1.335,1.335,0.0,1.335,1.335,0.0,open,[2026]
Midwest Class Championships,1,1.183,1.183,0.0,1.183,1.183,0.0,class,[2025]
New York State Championship,1,1.181,1.181,0.0,1.181,1.181,0.0,open,[2025]
New York State High School Championship,1,1.1919,1.1919,0.0,1.1919,1.1919,0.0,open,[2026]
New York State Open,1,1.1928,1.1928,0.0,1.1928,1.1928,0.0,open,[2025]
New York State Scholastic Championships Grades K-8,1,0.9715,0.9715,0.0,0.9715,0.9715,0.0,open,[2026]
New York State Senior Championship With Young Adult Mi,1,1.0492,1.0492,0.0,1.0492,1.0492,0.0,open,[2026]
Niagara Falls Open,1,1.1463,1.1463,0.0,1.1463,1.1463,0.0,open,[2025]
North American Open,1,1.3113,1.3113,0.0,1.3113,1.3113,0.0,open,[2025]
Open at Foxwoods,1,1.1032,1.1032,0.0,1.1032,1.1032,0.0,open,[2024]
Pacific Coast Open,1,1.1458,1.1458,0.0,1.1458,1.1458,0.0,open,[2025]
Philadelphia International,1,0.9683,0.9683,0.0,0.9683,0.9683,0.0,open,[2025]
Philadelphia Open,1,1.2338,1.2338,0.0,1.2338,1.2338,0.0,open,[2025]
Pittsburgh Open,1,1.2171,1.2171,0.0,1.2171,1.2171,0.0,open,[2025]
Princeton Open,1,1.2857,1.2857,0.0,1.2857,1.2857,0.0,open,[2025]
Southern Open,1,1.2606,1.2606,0.0,1.2606,1.2606,0.0,open,[2025]
Southwest Class Championships,1,1.2358,1.2358,0.0,1.2358,1.2358,0.0,class,[2026]
Washington Chess Congress,1,1.241,1.241,0.0,1.241,1.241,0.0,open,[2023]
Western Class Championships,1,1.0377,1.0377,0.0,1.0377,1.0377,0.0,class,[2026]
