family,year,prereg_count,standings_count,walk_in_ratio,walk_in_delta,walk_in_pct,tournament_type
Atlantic Open,2025,238,311,1.3067,73,30.7,open
Boardwalk Open,2015,115,151,1.313,36,31.3,open
Boston Chess Congress,2014,172,276,1.6047,104,60.5,open
Boston Chess Congress,2015,225,315,1.4,90,40.0,open
Boston Chess Congress,2016,242,364,1.5041,122,50.4,open
Boston Chess Congress,2017,208,347,1.6683,139,66.8,open
Boston Chess Congress,2018,237,385,1.6245,148,62.4,open
Boston Chess Congress,2019,270,427,1.5815,157,58.1,open
Boston Chess Congress,2026,359,413,1.1504,54,15.0,open
Bradley Open,2013,131,182,1.3893,51,38.9,open
Bradley Open,2014,138,212,1.5362,74,53.6,open
Bradley Open,2015,169,283,1.6746,114,67.5,open
Bradley Open,2016,148,267,1.8041,119,80.4,open
Bradley Open,2017,204,345,1.6912,141,69.1,open
Bradley Open,2018,173,305,1.763,132,76.3,open
Bradley Open,2019,171,288,1.6842,117,68.4,open
Bradley Open,2025,246,285,1.1585,39,15.9,open
Central California Open,2025,179,220,1.2291,41,22.9,open
Central New York Open,2023,139,189,1.3597,50,36.0,open
Chicago Class,2025,294,366,1.2449,72,24.5,class
Cleveland Open,2013,207,312,1.5072,105,50.7,open
Cleveland Open,2014,195,339,1.7385,144,73.8,open
Cleveland Open,2015,197,330,1.6751,133,67.5,open
Cleveland Open,2016,190,318,1.6737,128,67.4,open
Cleveland Open,2017,185,345,1.8649,160,86.5,open
Cleveland Open,2018,196,344,1.7551,148,75.5,open
Cleveland Open,2019,224,378,1.6875,154,68.8,open
Cleveland Open,2025,199,250,1.2563,51,25.6,open
Continental Class,2023,198,230,1.1616,32,16.2,class
Continental Open,2013,162,272,1.679,110,67.9,open
Continental Open,2014,228,353,1.5482,125,54.8,open
Continental Open,2015,253,437,1.7273,184,72.7,open
Continental Open,2016,255,395,1.549,140,54.9,open
Continental Open,2017,350,595,1.7,245,70.0,open
Continental Open,2018,292,479,1.6404,187,64.0,open
Continental Open,2019,274,421,1.5365,147,53.6,open
Continental Open,2025,265,340,1.283,75,28.3,open
Eastern Chess Congress,2025,487,579,1.1889,92,18.9,open
Eastern Class,2025,195,232,1.1897,37,19.0,class
Eastern Open,2022,404,898,2.2228,494,122.3,open
Eastern Open,2023,367,877,2.3896,510,139.0,open
Eastern Open,2024,391,892,2.2813,501,128.1,open
Eastern Open,2025,389,887,2.2802,498,128.0,open
Empire City Open,2019,318,379,1.1918,61,19.2,open
George Washington Open,2016,241,387,1.6058,146,60.6,open
George Washington Open,2017,197,315,1.599,118,59.9,open
George Washington Open,2018,227,375,1.652,148,65.2,open
George Washington Open,2019,253,401,1.585,148,58.5,open
George Washington Open,2026,209,217,1.0383,8,3.8,open
Golden State Open,2014,285,390,1.3684,105,36.8,open
Golden State Open,2015,247,390,1.5789,143,57.9,open
Golden State Open,2016,261,423,1.6207,162,62.1,open
Golden State Open,2017,282,427,1.5142,145,51.4,open
Golden State Open,2018,288,441,1.5312,153,53.1,open
Golden State Open,2019,273,413,1.5128,140,51.3,open
Golden State Open,2026,387,434,1.1214,47,12.1,open
Hartford Open,2025,189,211,1.1164,22,11.6,open
Indianapolis Open,2025,187,237,1.2674,50,26.7,open
Kings Island Open,2013,289,489,1.692,200,69.2,open
Kings Island Open,2014,296,488,1.6486,192,64.9,open
Kings Island Open,2015,274,461,1.6825,187,68.2,open
Kings Island Open,2016,279,471,1.6882,192,68.8,open
Kings Island Open,2017,291,481,1.6529,190,65.3,open
Kings Island Open,2018,251,405,1.6135,154,61.4,open
Kings Island Open,2019,298,463,1.5537,165,55.4,open
Kings Island Open,2025,356,382,1.073,26,7.3,open
Liberty Bell Open,2026,564,687,1.2181,123,21.8,open
Los Angeles Open,2013,154,289,1.8766,135,87.7,open
Los Angeles Open,2016,171,293,1.7135,122,71.3,open
Los Angeles Open,2017,213,339,1.5915,126,59.2,open
Los Angeles Open,2018,252,393,1.5595,141,56.0,open
Los Angeles Open,2019,241,377,1.5643,136,56.4,open
Los Angeles Open,2025,397,469,1.1814,72,18.1,open
Manhattan Open,2019,434,504,1.1613,70,16.1,open
Mid-America Open,2014,232,838,3.6121,606,261.2,open
Mid-America Open,2015,234,862,3.6838,628,268.4,open
Mid-America Open,2016,210,819,3.9,609,290.0,open
Mid-America Open,2017,306,951,3.1078,645,210.8,open
Mid-America Open,2018,268,900,3.3582,632,235.8,open
Mid-America Open,2019,320,949,2.9656,629,196.6,open
Mid-America Open,2026,200,267,1.335,67,33.5,open
Midwest Chess Congress,2022,81,107,1.321,26,32.1,open
Midwest Class Championships,2013,214,348,1.6262,134,62.6,class
Midwest Class Championships,2014,243,434,1.786,191,78.6,class
Midwest Class Championships,2015,265,465,1.7547,200,75.5,class
Midwest Class Championships,2016,280,459,1.6393,179,63.9,class
Midwest Class Championships,2017,316,530,1.6772,214,67.7,class
Midwest Class Championships,2018,328,514,1.5671,186,56.7,class
Midwest Class Championships,2019,305,481,1.577,176,57.7,class
Midwest Class Championships,2025,306,362,1.183,56,18.3,class
New York State Championship,2025,348,411,1.181,63,18.1,open
New York State High School Championship,2026,198,236,1.1919,38,19.2,open
New York State Open,2025,83,99,1.1928,16,19.3,open
New York State Scholastic Championships Grades K-8,2026,1753,1703,0.9715,-50,-2.9,open
New York State Senior Championship With Young Adult Mi,2026,61,64,1.0492,3,4.9,open
Niagara Falls Open,2025,123,141,1.1463,18,14.6,open
North American Open,2025,1256,1647,1.3113,391,31.1,open
Northeast Open,2022,227,474,2.0881,247,108.8,open
